Question Number,Passage,Question,Question Image,Exam Date,Option A,Option B,Option C,Option D,Answer,Explanation
16,,प्रश्न 6 निम्नांकित में से राजस्थान का सुदूर पूर्वी देशांतर कौन-सा है -Junior Instructor (ED) Exam 2024,,,(अ) 30° 12′ उ.,(ब) 69° 30′ पू.,(स) 23° 3′ उ.,(द) 78° 17′ पू.,,
17,,प्रश्न 7 राजस्थान का सबसे पूर्व में स्थित बिन्दु है -Junior Instructor (EC) Exam 2024,,,(अ) 69° 30′ पू.,(ब) 78° 17′ पू.,(स) 72° 19′ पू.,(द) 30° 12′ पू.,,
18,,प्रश्न 8 उस क्षेत्र को राजपूताना कहने वाले प्रथम व्यक्ति कौन थे जिसे अब राजस्थान कहा जाता है -CET 2024 (12th Level) 23 October Shift-I,,,(अ) जॉर्ज अब्राहम,(ब) जॉर्ज थॉमस,(स) जॉर्ज एलेक्जेंडर,(द) जॉर्ज टोड,,
19,,प्रश्न 9 भारत के कुल भूभाग का कितना प्रतिशत भाग राजस्थान में है -निम्न में से सबसे उपयुक्त विकल्प चुनें।CET 2024 (12th Level) 22 October Shift-II,,,(अ) 10.4%,(ब) 12.4%,(स) 7.3%,(द) 13.3%,,
20,,प्रश्न 10 राजस्थान के पूर्व-पश्चिम एवं उत्तर-दक्षिण विस्तार में अन्तर है :SCHOOL LECTURER (SANSKRIT EDU. DEPTT.) COMP. EXAM-2024,,,(अ) 46 कि.मी. का,(ब) 52 कि.मी. का,(स) 48 कि.मी. का,(द) 43 कि.मी. का,,
21,,प्रश्न 1 1800 ईसवी में आज के राजस्थान को राजपूताना कहने वाले प्रथम व्यक्ति _______ थे।निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:Animal Attendant 2023 Exam (December 1 Shift II),,,(अ) हैकेट,(ब) ऑलचिन,(स) जॉर्ज थॉमस,(द) जेम्स टॉड,,
22,,प्रश्न 2 राजस्थान भारत के ______ भाग में स्थित है।Animal Attendant 2023 Exam (December 1 Shift I),,,(अ) उत्तर-दक्षिणी,(ब) पूर्वी तट,(स) उत्तर-पश्चिमी,(द) उत्तर-पूर्वीं,,
23,,प्रश्न 3 निम्नलिखित में से कौन-सा कथन राजस्थान की विश्व मानचित्र पर स्थिति के संदर्भ में सही है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:Animal Attendant 2023 Exam (December 1 Shift I),,,(अ) कर्क रेखा राजस्थान के दक्षिणी भाग से होकर गुजरती है।,(ब) कर्क रेखा राजस्थान के मध्य भाग से होकर गुजरती है।,(स) भूमध्य रेखा राजस्थान के उत्तरी भाग से होकर गुजरती है।,(द) राजस्थान दक्षिणी गोलार्द्ध में स्थित है।,,
24,,प्रश्न 4 राजस्थान राज्य का क्षेत्रफल है : (निम्न में से सबसे उपयुक्त विकल्प चुनें)Junior Instructor (RAT) Exam 2024,,,(अ) 344239 वर्ग किमी,(ब) 334429 वर्ग किमी,(स) 342239 वर्ग किमी,(द) 343329 वर्ग किमी,,
25,,"प्रश्न 5 राजस्थान के उत्तर से दक्षिण एवं पूर्व से पश्चिम विस्तार की लम्बाई, क्रमशः कितनी है - (निम्न में से सबसे उपयुक्त विकल्प चुनें)Junior Instructor (Fitter) Exam 2024",,,(अ) 826 एवं 869 किलोमीटर,(ब) 862 एवं 896 किलोमीटर,(स) 892 एवं 829 किलोमीटर,(द) 809 एवं 899 किलोमीटर,,
26,,प्रश्न 6 निम्नांकित में से राजस्थान का सुदूर पूर्वी देशांतर कौन-सा है -Junior Instructor (ED) Exam 2024,,,(अ) 30° 12′ उ.,(ब) 69° 30′ पू.,(स) 23° 3′ उ.,(द) 78° 17′ पू.,,
27,,प्रश्न 7 राजस्थान का सबसे पूर्व में स्थित बिन्दु है -Junior Instructor (EC) Exam 2024,,,(अ) 69° 30′ पू.,(ब) 78° 17′ पू.,(स) 72° 19′ पू.,(द) 30° 12′ पू.,,
28,,प्रश्न 8 उस क्षेत्र को राजपूताना कहने वाले प्रथम व्यक्ति कौन थे जिसे अब राजस्थान कहा जाता है -CET 2024 (12th Level) 23 October Shift-I,,,(अ) जॉर्ज अब्राहम,(ब) जॉर्ज थॉमस,(स) जॉर्ज एलेक्जेंडर,(द) जॉर्ज टोड,,
29,,प्रश्न 9 भारत के कुल भूभाग का कितना प्रतिशत भाग राजस्थान में है -निम्न में से सबसे उपयुक्त विकल्प चुनें।CET 2024 (12th Level) 22 October Shift-II,,,(अ) 10.4%,(ब) 12.4%,(स) 7.3%,(द) 13.3%,,
30,,प्रश्न 10 राजस्थान के पूर्व-पश्चिम एवं उत्तर-दक्षिण विस्तार में अन्तर है :SCHOOL LECTURER (SANSKRIT EDU. DEPTT.) COMP. EXAM-2024,,,(अ) 46 कि.मी. का,(ब) 52 कि.मी. का,(स) 48 कि.मी. का,(द) 43 कि.मी. का,,
31,,प्रश्न 1 1800 ईसवी में आज के राजस्थान को राजपूताना कहने वाले प्रथम व्यक्ति _______ थे।निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:Animal Attendant 2023 Exam (December 1 Shift II),,,(अ) हैकेट,(ब) ऑलचिन,(स) जॉर्ज थॉमस,(द) जेम्स टॉड,,
32,,प्रश्न 2 राजस्थान भारत के ______ भाग में स्थित है।Animal Attendant 2023 Exam (December 1 Shift I),,,(अ) उत्तर-दक्षिणी,(ब) पूर्वी तट,(स) उत्तर-पश्चिमी,(द) उत्तर-पूर्वीं,,
33,,प्रश्न 3 निम्नलिखित में से कौन-सा कथन राजस्थान की विश्व मानचित्र पर स्थिति के संदर्भ में सही है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:Animal Attendant 2023 Exam (December 1 Shift I),,,(अ) कर्क रेखा राजस्थान के दक्षिणी भाग से होकर गुजरती है।,(ब) कर्क रेखा राजस्थान के मध्य भाग से होकर गुजरती है।,(स) भूमध्य रेखा राजस्थान के उत्तरी भाग से होकर गुजरती है।,(द) राजस्थान दक्षिणी गोलार्द्ध में स्थित है।,,
34,,प्रश्न 4 राजस्थान राज्य का क्षेत्रफल है : (निम्न में से सबसे उपयुक्त विकल्प चुनें)Junior Instructor (RAT) Exam 2024,,,(अ) 344239 वर्ग किमी,(ब) 334429 वर्ग किमी,(स) 342239 वर्ग किमी,(द) 343329 वर्ग किमी,,
35,,"प्रश्न 5 राजस्थान के उत्तर से दक्षिण एवं पूर्व से पश्चिम विस्तार की लम्बाई, क्रमशः कितनी है - (निम्न में से सबसे उपयुक्त विकल्प चुनें)Junior Instructor (Fitter) Exam 2024",,,(अ) 826 एवं 869 किलोमीटर,(ब) 862 एवं 896 किलोमीटर,(स) 892 एवं 829 किलोमीटर,(द) 809 एवं 899 किलोमीटर,,
36,,प्रश्न 6 निम्नांकित में से राजस्थान का सुदूर पूर्वी देशांतर कौन-सा है -Junior Instructor (ED) Exam 2024,,,(अ) 30° 12′ उ.,(ब) 69° 30′ पू.,(स) 23° 3′ उ.,(द) 78° 17′ पू.,,
37,,प्रश्न 7 राजस्थान का सबसे पूर्व में स्थित बिन्दु है -Junior Instructor (EC) Exam 2024,,,(अ) 69° 30′ पू.,(ब) 78° 17′ पू.,(स) 72° 19′ पू.,(द) 30° 12′ पू.,,
38,,प्रश्न 8 उस क्षेत्र को राजपूताना कहने वाले प्रथम व्यक्ति कौन थे जिसे अब राजस्थान कहा जाता है -CET 2024 (12th Level) 23 October Shift-I,,,(अ) जॉर्ज अब्राहम,(ब) जॉर्ज थॉमस,(स) जॉर्ज एलेक्जेंडर,(द) जॉर्ज टोड,,
39,,प्रश्न 9 भारत के कुल भूभाग का कितना प्रतिशत भाग राजस्थान में है -निम्न में से सबसे उपयुक्त विकल्प चुनें।CET 2024 (12th Level) 22 October Shift-II,,,(अ) 10.4%,(ब) 12.4%,(स) 7.3%,(द) 13.3%,,
40,,प्रश्न 10 राजस्थान के पूर्व-पश्चिम एवं उत्तर-दक्षिण विस्तार में अन्तर है :SCHOOL LECTURER (SANSKRIT EDU. DEPTT.) COMP. EXAM-2024,,,(अ) 46 कि.मी. का,(ब) 52 कि.मी. का,(स) 48 कि.मी. का,(द) 43 कि.मी. का,,
41,,प्रश्न 1 1800 ईसवी में आज के राजस्थान को राजपूताना कहने वाले प्रथम व्यक्ति _______ थे।निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:Animal Attendant 2023 Exam (December 1 Shift II),,,(अ) हैकेट,(ब) ऑलचिन,(स) जॉर्ज थॉमस,(द) जेम्स टॉड,,
42,,प्रश्न 2 राजस्थान भारत के ______ भाग में स्थित है।Animal Attendant 2023 Exam (December 1 Shift I),,,(अ) उत्तर-दक्षिणी,(ब) पूर्वी तट,(स) उत्तर-पश्चिमी,(द) उत्तर-पूर्वीं,,
43,,प्रश्न 3 निम्नलिखित में से कौन-सा कथन राजस्थान की विश्व मानचित्र पर स्थिति के संदर्भ में सही है -निम्नलिखित विकल्पों में से सर्वाधिक उपयुक्त उत्तर चुनें:Animal Attendant 2023 Exam (December 1 Shift I),,,(अ) कर्क रेखा राजस्थान के दक्षिणी भाग से होकर गुजरती है।,(ब) कर्क रेखा राजस्थान के मध्य भाग से होकर गुजरती है।,(स) भूमध्य रेखा राजस्थान के उत्तरी भाग से होकर गुजरती है।,(द) राजस्थान दक्षिणी गोलार्द्ध में स्थित है।,,
44,,प्रश्न 4 राजस्थान राज्य का क्षेत्रफल है : (निम्न में से सबसे उपयुक्त विकल्प चुनें)Junior Instructor (RAT) Exam 2024,,,(अ) 344239 वर्ग किमी,(ब) 334429 वर्ग किमी,(स) 342239 वर्ग किमी,(द) 343329 वर्ग किमी,,
45,,"प्रश्न 5 राजस्थान के उत्तर से दक्षिण एवं पूर्व से पश्चिम विस्तार की लम्बाई, क्रमशः कितनी है - (निम्न में से सबसे उपयुक्त विकल्प चुनें)Junior Instructor (Fitter) Exam 2024",,,(अ) 826 एवं 869 किलोमीटर,(ब) 862 एवं 896 किलोमीटर,(स) 892 एवं 829 किलोमीटर,(द) 809 एवं 899 किलोमीटर,,
46,,प्रश्न 6 निम्नांकित में से राजस्थान का सुदूर पूर्वी देशांतर कौन-सा है -Junior Instructor (ED) Exam 2024,,,(अ) 30° 12′ उ.,(ब) 69° 30′ पू.,(स) 23° 3′ उ.,(द) 78° 17′ पू.,,
47,,प्रश्न 7 राजस्थान का सबसे पूर्व में स्थित बिन्दु है -Junior Instructor (EC) Exam 2024,,,(अ) 69° 30′ पू.,(ब) 78° 17′ पू.,(स) 72° 19′ पू.,(द) 30° 12′ पू.,,
48,,प्रश्न 8 उस क्षेत्र को राजपूताना कहने वाले प्रथम व्यक्ति कौन थे जिसे अब राजस्थान कहा जाता है -CET 2024 (12th Level) 23 October Shift-I,,,(अ) जॉर्ज अब्राहम,(ब) जॉर्ज थॉमस,(स) जॉर्ज एलेक्जेंडर,(द) जॉर्ज टोड,,
49,,प्रश्न 9 भारत के कुल भूभाग का कितना प्रतिशत भाग राजस्थान में है -निम्न में से सबसे उपयुक्त विकल्प चुनें।CET 2024 (12th Level) 22 October Shift-II,,,(अ) 10.4%,(ब) 12.4%,(स) 7.3%,(द) 13.3%,,
50,,प्रश्न 10 राजस्थान के पूर्व-पश्चिम एवं उत्तर-दक्षिण विस्तार में अन्तर है :SCHOOL LECTURER (SANSKRIT EDU. DEPTT.) COMP. EXAM-2024,,,(अ) 46 कि.मी. का,(ब) 52 कि.मी. का,(स) 48 कि.मी. का,(द) 43 कि.मी. का,,
